Time         ,0     ,1       ,2       ,3       ,4       ,5       ,6       ,7       ,8       ,9       ,10      ,11      ,12      ,13      ,14      ,15      ,16      ,17      ,18      ,19      ,20      ,21      ,22      ,23      ,24      ,25      ,26      ,27      ,28      ,29      ,30      ,31      ,32      ,33      ,34      ,35      ,36      ,37      ,38      ,39      ,40      ,41      ,42      ,43      ,44      ,45      ,46      ,47      ,48      ,49      ,50      ,51      ,52      ,53      ,54      ,55      ,56      ,57      ,58      ,59      ,60      ,61      ,62      ,63      ,64      ,65      ,66      ,67      ,68      ,69      ,70      ,71      ,72      ,73      ,74      ,75      ,76      ,77      ,78      ,79      ,80      ,81      ,82      ,83      ,84      ,85      ,86      ,87      ,88      ,89      ,90      ,91      ,92      ,93      ,94      ,95      ,96      ,97      ,98      ,99      ,100
Agua en lago ,10    ,11      ,10.0068 ,9.03601 ,8.36503 ,8.04666 ,7.28754 ,7.07945 ,7.22709 ,7.29078 ,7.19441 ,6.74735 ,6.68633 ,6.31913 ,5.78177 ,5.77544 ,5.37709 ,5.58777 ,5.88956 ,5.41826 ,5.26067 ,4.91228 ,5.10831 ,4.73163 ,4.59728 ,4.16657 ,4.35113 ,4.18098 ,3.93405 ,3.99669 ,4.09267 ,3.77854 ,4.08965 ,4.45555 ,4.56901 ,4.28617 ,4.74106 ,5.22421 ,5.23945 ,4.99162 ,4.55982 ,4.24156 ,4.23855 ,4.51452 ,4.52115 ,4.68122 ,4.35961 ,4.19849 ,4.35891 ,3.96361 ,3.92727 ,4.1615  ,4.40445 ,4.2637  ,4.24634 ,4.4455  ,4.3836  ,4.74853 ,5.14324 ,4.94664 ,4.61733 ,4.93071 ,4.54956 ,4.96452 ,5.04607 ,5.42598 ,5.26574 ,4.89898 ,4.80947 ,4.53335 ,4.24428 ,4.37883 ,4.84245 ,4.37496 ,4.53835 ,4.10778 ,3.75239 ,4.01019 ,3.98177 ,3.6185  ,3.52402 ,3.3238  ,3.83102 ,3.86157 ,3.77295 ,3.95198 ,4.01879 ,3.85841 ,3.61699 ,3.75334 ,3.60363 ,3.2858  ,3.73294 ,3.48922 ,3.69971 ,3.37203 ,3.83631 ,3.68305 ,3.85014 ,4.15438 ,3.9997
Bosques      ,1e+006,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,1e+006  ,999832  ,999407  ,998984  ,998268  ,997765  ,997413  ,996773  ,995910  ,994551  ,993490  ,991892  ,990106  ,987299  ,984965  ,982243  ,977648  ,973563  ,970687  ,965421  ,962584  ,960736  ,959178  ,956954  ,955717  ,955193  ,954696  ,953843  ,952327  ,950057  ,947800  ,946228  ,944687  ,943474  ,941568  ,939291  ,937420  ,933385  ,929203  ,926944  ,925290  ,923311  ,921306  ,919799  ,918155  ,917269  ,916963  ,916374  ,915312  ,914714  ,913513  ,912978  ,912567  ,912710  ,912620  ,911998  ,911252  ,910039  ,908141  ,906582  ,905927  ,904377  ,903233  ,901061  ,896271  ,893062  ,889531  ,884160  ,878581  ,872570  ,868395  ,864405  ,859998  ,856523  ,853718  ,849817  ,844732  ,840367  ,835293  ,829502  ,825137  ,819894  ,815425  ,809966  ,806245  ,801778  ,798176  ,796853
Deforestación,0     ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,167.58  ,426.691 ,429.745 ,725.58  ,520.24  ,374.719 ,665.852 ,894.492 ,1399.96 ,1115.54 ,1662.07 ,1866.82 ,2904.63 ,2459.92 ,2869.91 ,4769.64 ,4303.56 ,3133.56 ,5550.27 ,3170.37 ,2208.33 ,1934.93 ,2616.45 ,1648.39 ,947.387 ,925.274 ,1284.85 ,1957.07 ,2723.94 ,2731.19 ,2066.24 ,2050.26 ,1735.2  ,2439.5  ,2827.73 ,2441.18 ,4621.28 ,4803.65 ,2916.85 ,2331.44 ,2670.59 ,2712.43 ,2232.55 ,2381.7  ,1637.54 ,1064.87 ,1350.1  ,1827.89 ,1373.22 ,1981.81 ,1324.16 ,1205.85 ,654.644 ,887.137 ,1419.26 ,1549.13 ,2020.87 ,2717.38 ,2393.18 ,1501.27 ,2402.5  ,2008.82 ,3046.29 ,5681.54 ,4138.95 ,4485.37 ,6353.63 ,6603.58 ,7077.39 ,5286.82 ,5133.46 ,5578.35 ,4679.65 ,4034.06 ,5149.33 ,6361.22 ,5676.77 ,6415.2  ,7167.33 ,5779.17 ,6685.94 ,5945.98 ,6963.26 ,5260.27 ,6029.63 ,5190.87 ,2934.02 ,4266.83
Evaporación  ,1     ,1.1     ,1.00068 ,0.903601,0.836503,0.804666,0.728754,0.707945,0.722709,0.729078,0.719441,0.674735,0.668633,0.631913,0.578178,0.577544,0.537709,0.558777,0.588956,0.541826,0.526067,0.491228,0.510831,0.473163,0.459728,0.416657,0.435113,0.418098,0.393405,0.399669,0.409267,0.377854,0.408965,0.445555,0.456901,0.428617,0.474106,0.522421,0.523945,0.499162,0.455982,0.424156,0.423855,0.451452,0.452115,0.468122,0.435961,0.419849,0.435891,0.396361,0.392727,0.41615 ,0.440445,0.42637 ,0.424634,0.44455 ,0.43836 ,0.474853,0.514324,0.494664,0.461733,0.493071,0.454956,0.496452,0.504607,0.542598,0.526574,0.489898,0.480947,0.453335,0.424428,0.437883,0.484245,0.437496,0.453835,0.410778,0.375239,0.401019,0.398177,0.36185 ,0.352402,0.33238 ,0.383102,0.386157,0.377295,0.395198,0.401879,0.385841,0.361699,0.375334,0.360363,0.32858 ,0.373294,0.348922,0.369971,0.337203,0.383631,0.368305,0.385014,0.415438,0.39997
FINAL TIME   ,101
INITIAL TIME ,0
Lluvia       ,2     ,0.106817,0.029879,0.232614,0.518135,0.045551,0.520662,0.855579,0.786405,0.63271 ,0.272378,0.613711,0.301439,0.094556,0.571844,0.179194,0.748386,0.860565,0.117658,0.384238,0.177676,0.687262,0.134145,0.338813,0.029022,0.601218,0.264961,0.171167,0.456041,0.49565 ,0.09514 ,0.688961,0.774864,0.559021,0.174061,0.883501,0.957263,0.537662,0.276112,0.067363,0.137721,0.421147,0.69982 ,0.458083,0.612185,0.146513,0.274838,0.580274,0.040585,0.36003 ,0.626955,0.659102,0.299693,0.409005,0.623793,0.382651,0.803292,0.86956 ,0.317732,0.165352,0.775115,0.111913,0.869923,0.578001,0.884519,0.382355,0.159816,0.400383,0.204825,0.164271,0.558979,0.901503,0.016755,0.60088 ,0.023271,0.055385,0.633039,0.3726  ,0.03491 ,0.267367,0.152182,0.839602,0.413654,0.29753 ,0.556326,0.462014,0.241498,0.14442 ,0.498048,0.22562 ,0.042533,0.775725,0.12957 ,0.559416,0.04229 ,0.801484,0.230367,0.535393,0.689254,0.26076 ,0.548674
Máx bosques  ,1e+006
Pesca        ,1     ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,0.983242,0.957331,0.957026,0.927442,0.947976,0.962528,0.933415,0.910551,0.860004,0.888446,0.833793,0.813318,0.709537,0.754008,0.713009,0.523036,0.569644,0.686644,0.444973,0.682963,0.779167,0.806507,0.738355,0.835161,0.905261,0.907473,0.871515,0.804293,0.727606,0.726881,0.793376,0.794974,0.82648 ,0.75605 ,0.717227,0.755882,0.537872,0.519635,0.708315,0.766856,0.732941,0.728757,0.776745,0.76183 ,0.836246,0.893513,0.86499 ,0.817211,0.862678,0.801819,0.867584,0.879415,0.934536,0.911286,0.858074,0.845087,0.797913,0.728262,0.760682,0.849873,0.75975 ,0.799118,0.695371,0.431845,0.586105,0.551463,0.364637,0.339642,0.292261,0.471318,0.486654,0.442165,0.532035,0.596594,0.485067,0.363878,0.432323,0.35848 ,0.283267,0.422083,0.331406,0.405402,0.303674,0.473973,0.397037,0.480913,0.706598,0.573317
Regeneración ,0     ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,1.67534 ,5.92211 ,10.1534 ,17.2881 ,22.2976 ,25.8049 ,32.1683 ,40.7284 ,54.1912 ,64.678  ,80.4183 ,97.9605 ,125.393 ,148.091 ,174.416 ,218.526 ,257.383 ,284.542 ,333.835 ,360.158 ,377.223 ,391.552 ,411.935 ,423.22  ,427.994 ,432.519 ,440.262 ,454.007 ,474.491 ,494.753 ,508.802 ,522.535 ,533.306 ,550.176 ,570.239 ,586.641 ,621.775 ,657.847 ,677.188 ,691.286 ,708.082 ,725.012 ,737.692 ,751.468 ,758.87  ,761.423 ,766.328 ,775.157 ,780.121 ,790.074 ,794.488 ,797.884 ,796.702 ,797.448 ,802.576 ,808.722 ,818.677 ,834.212 ,846.913 ,852.23  ,864.791 ,874.03  ,891.502 ,929.694 ,955.026 ,982.655 ,1024.21 ,1066.77 ,1111.91 ,1142.85 ,1172.09 ,1204.01 ,1228.92 ,1248.84 ,1276.28 ,1311.6  ,1341.5  ,1375.78 ,1414.29 ,1442.86 ,1476.68 ,1505.07 ,1539.21 ,1562.14 ,1589.3  ,1610.91 ,1618.78
Río          ,2     ,0.106817,0.029879,0.232614,0.518135,0.045551,0.520662,0.855579,0.786405,0.63271 ,0.272378,0.613711,0.301439,0.094556,0.571844,0.179194,0.748386,0.860565,0.117658,0.384238,0.177676,0.687262,0.134145,0.338813,0.029022,0.601218,0.264961,0.171167,0.456041,0.49565 ,0.09514 ,0.688961,0.774864,0.559021,0.174061,0.883501,0.957263,0.537662,0.276112,0.067363,0.137721,0.421147,0.69982 ,0.458083,0.612185,0.146513,0.274838,0.580274,0.040585,0.36003 ,0.626955,0.659102,0.299693,0.409005,0.623793,0.382651,0.803292,0.86956 ,0.317732,0.165352,0.775115,0.111913,0.869923,0.578001,0.884519,0.382355,0.159816,0.400383,0.204825,0.164271,0.558979,0.901503,0.016755,0.60088 ,0.023271,0.055385,0.633039,0.3726  ,0.03491 ,0.267367,0.152182,0.839602,0.413654,0.29753 ,0.556326,0.462014,0.241498,0.14442 ,0.498048,0.22562 ,0.042533,0.775725,0.12957 ,0.559416,0.04229 ,0.801484,0.230367,0.535393,0.689254,0.26076 ,0.548674
SAVEPER      ,1     ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1       ,1
TIME STEP    ,1
